game_id,home_team,away_team,home_pitcher,away_pitcher,diff_p_xFIP,diff_p_K-BB%,diff_bat_wRC+,diff_p_ERA,diff_p_WHIP,diff_p_FIP,diff_p_SIERA,diff_p_K%,diff_p_BB%,home_roll5_run_diff_mean,diff_roll5_run_diff_mean,home_h2h_win_pct,away_h2h_win_pct,diff_h2h_win_pct,diff_h2h_runs_scored_avg,diff_h2h_runs_allowed_avg,h2h_proxy_used,home_roll5_proxy_used,away_roll5_proxy_used
824940,ATL,ATH,Chris Sale,Luis Severino,-0.5300000000000002,0.023999999999999994,-4.0,-0.34999999999999964,-0.050000000000000044,-0.45999999999999996,-0.3199999999999994,0.019999999999999907,-0.0040000000000000036,-0.0146627565982404,0.11015150788912959,0.6,0.4,0.19999999999999996,0.8000000000000003,-0.8000000000000003,False,False,True
824860,BAL,TEX,Trevor Rogers,TBD,0.15000000000000036,-0.013999999999999985,4.0,1.13,0.19000000000000017,0.52,0.13999999999999968,-0.007000000000000117,0.007000000000000006,-0.1574468085106383,-0.2727752756639229,0.5666666666666667,0.43333333333333335,0.1333333333333333,0.033333333333333215,-0.033333333333333215,False,False,True
824536,CIN,PIT,Andrew Abbott,Paul Skenes,0.03000000000000025,0.006000000000000005,10.0,0.10000000000000009,0.0,0.28000000000000025,-0.03000000000000025,0.008999999999999897,0.0029999999999999055,0.0491573033707863,0.14141920813269107,0.39090909090909093,0.6090909090909091,-0.2181818181818182,0.23636363636363633,-0.23636363636363633,False,False,True
823483,PHI,WSH,Cristopher Sánchez,Cade Cavalli,-0.8099999999999996,0.06399999999999999,16.0,-1.5599999999999996,-0.21999999999999997,-1.0199999999999996,-0.7300000000000004,0.045000000000000095,-0.018000000000000002,0.1949025487256371,0.4794663071148989,0.7068965517241379,0.29310344827586204,0.41379310344827586,2.53448275862069,-2.53448275862069,False,False,True
822835,TOR,COL,Kevin Gausman,Kyle Freeland,-0.7199999999999998,0.06499999999999999,38.0,-1.7999999999999998,-0.31000000000000005,-0.9800000000000004,-0.75,0.063,-0.001999999999999988,0.105191256830601,0.7170238686632129,0.75,0.25,0.5,4.3,-4.3,False,False,True
823889,MIA,CWS,Sandy Alcantara,Shane Smith,-0.29000000000000004,0.013999999999999999,8.0,0.3199999999999994,-0.06000000000000005,-0.1299999999999999,-0.20000000000000018,-0.0010000000000000009,-0.015,-0.1314623338257017,0.005425274243462647,0.55,0.45,0.10000000000000003,0.30000000000000027,-0.30000000000000027,False,False,True
823078,STL,NYM,Matthew Liberatore,Freddy Peralta,0.09000000000000075,-0.013000000000000012,-16.0,0.2599999999999998,0.0,0.17999999999999972,0.15000000000000036,-0.026999999999999996,-0.015,-0.1001540832049308,-0.172700313645898,0.4056603773584906,0.5943396226415094,-0.18867924528301883,-1.0943396226415092,1.0943396226415092,False,False,True
823806,MIL,TB,Jacob Misiorowski,Drew Rasmussen,0.18000000000000016,-0.009000000000000008,9.0,-0.3500000000000001,0.010000000000000009,-0.2400000000000002,0.1200000000000001,-0.0010000000000000009,0.007999999999999993,0.2415730337078652,0.19591765815558237,0.6071428571428571,0.39285714285714285,0.21428571428571425,1.0714285714285712,-1.0714285714285712,False,False,True
824211,HOU,BOS,Mike Burrows,Garrett Crochet,-0.14999999999999947,0.03,-3.0,0.13999999999999968,-0.07000000000000006,0.03999999999999959,-0.2799999999999998,0.027999999999999997,-0.001999999999999988,0.0308823529411764,-0.12671077026799268,0.5178571428571429,0.48214285714285715,0.035714285714285754,0.07142857142857117,-0.07142857142857117,False,False,True
824698,CHC,LAA,Matthew Boyd,Yusei Kikuchi,-0.3799999999999999,0.039999999999999994,18.0,-1.0799999999999996,-0.25,-0.6200000000000001,-0.4500000000000002,0.009000000000000008,-0.03,0.2102189781021897,0.43894980097527203,0.575,0.425,0.14999999999999997,0.5,-0.5,False,False,True
825106,AZ,DET,Zac Gallen,TBD,0.24999999999999956,-0.01999999999999999,6.0,0.52,0.07000000000000006,0.21999999999999975,0.27000000000000046,-0.020000000000000018,0.0010000000000000009,0.009022556390977376,-0.09097744360902271,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-1.8571428571428568,1.8571428571428568,False,True,True
823321,SD,SF,Nick Pivetta,Adrian Houser,0.16000000000000014,0.00899999999999998,5.0,-0.19999999999999973,-0.09000000000000008,0.27999999999999936,-0.020000000000000018,0.014999999999999986,0.0059999999999999915,0.1096075778078484,0.07858837544448065,0.6159420289855072,0.38405797101449274,0.23188405797101447,0.9855072463768111,-0.9855072463768111,False,False,True
823157,SEA,NYY,George Kirby,Cam Schlittler,-0.08000000000000007,0.013000000000000012,-6.0,-0.040000000000000036,-0.030000000000000027,-0.020000000000000018,-0.15000000000000036,-0.005000000000000088,-0.018000000000000002,0.1011235955056178,-0.13484762751596502,0.40384615384615385,0.5961538461538461,-0.1923076923076923,-1.6153846153846154,1.6153846153846154,False,False,True
824136,KC,MIN,Noah Cameron,Joe Ryan,-0.03000000000000025,-0.016999999999999987,-4.0,-0.8199999999999998,-0.07000000000000006,-0.08000000000000007,0.1599999999999997,-0.0119999999999999,0.0050000000000000044,0.0,0.13475177304964536,0.41379310344827586,0.5862068965517241,-0.17241379310344823,-0.8793103448275863,0.8793103448275863,False,False,True
823970,LAD,CLE,Yoshinobu Yamamoto,Gavin Williams,-0.16999999999999993,0.014000000000000012,26.0,0.25,0.0,-0.020000000000000018,-0.18999999999999995,0.01999999999999999,0.006000000000000005,0.1911170928667565,0.1997751015247652,0.7045454545454546,0.29545454545454547,0.4090909090909091,2.6818181818181817,-2.6818181818181817,False,False,True
