game_id,home_team,away_team,home_pitcher,away_pitcher
824940,ATL,ATH,Chris Sale,Luis Severino
824860,BAL,TEX,Trevor Rogers,TBD
824536,CIN,PIT,Andrew Abbott,Paul Skenes
823483,PHI,WSH,Cristopher Sánchez,Cade Cavalli
822835,TOR,COL,Kevin Gausman,Kyle Freeland
823889,MIA,CWS,Sandy Alcantara,Shane Smith
823078,STL,NYM,Matthew Liberatore,Freddy Peralta
823806,MIL,TB,Jacob Misiorowski,Drew Rasmussen
824211,HOU,BOS,Mike Burrows,Garrett Crochet
824698,CHC,LAA,Matthew Boyd,Yusei Kikuchi
825106,AZ,DET,Zac Gallen,TBD
823321,SD,SF,Nick Pivetta,Adrian Houser
823157,SEA,NYY,George Kirby,Cam Schlittler
824136,KC,MIN,Noah Cameron,Joe Ryan
823970,LAD,CLE,Yoshinobu Yamamoto,Gavin Williams
